DateTime 	Ht-T-45 	 Ht-T-30 	Ht-T-15	Height 	BatVs
Sat Aug 10 19:50 	130.65 	130.65 	130.53 	130.46 	4.1
Sat Aug 10 18:50 	130.65 	130.65 	130.65 	130.65 	4.2
Sat Aug 10 17:50 	130.65 	130.65 	130.65 	130.61 	4.2
Sat Aug 10 16:50 	130.65 	128.17 	127.9 	130.65 	4.1
Sat Aug 10 15:51 	130.65 	130.38 	130.65 	130.65 	4.2
Sat Aug 10 14:50 	130.65 	130.26 	130.22 	130.65 	4.2
Sat Aug 10 13:50 	130.65 	130.65 	130.65 	130.65 	4.1
Sat Aug 10 12:50 	130.65 	129.08 	130.5 	127.7 	4.2
Sat Aug 10 11:50 	129.0 	130.65 	128.29 	129.08 	4.2
Sat Aug 10 10:50 	130.65 	128.76 	130.02 	126.75 	4.2
Sat Aug 10 09:50 	130.65 	127.94 	130.65 	129.12 	4.2
Sat Aug 10 08:50 	125.85 	127.58 	129.12 	130.65 	4.1
Sat Aug 10 07:50 	125.93 	125.69 	125.46 	125.3 	4.2
Sat Aug 10 06:50 	126.36 	126.28 	126.16 	126.09 	4.0
Sat Aug 10 05:50 	126.83 	126.72 	126.6 	126.48 	4.0
Sat Aug 10 04:50 	127.38 	127.11 	127.19 	126.95 	4.0
Sat Aug 10 03:50 	127.82 	127.7 	127.62 	127.5 	4.0
Sat Aug 10 02:51 	128.25 	128.17 	128.01 	127.94 	4.1
Sat Aug 10 01:51 	128.72 	128.61 	128.49 	128.37 	4.1
Sat Aug 10 00:51 	129.16 	129.04 	128.96 	128.8 	4.1
Fri Aug 9 23:51 	129.59 	129.51 	129.39 	129.27 	4.1
Fri Aug 9 22:51 	130.02 	129.9 	129.79 	129.71 	4.1
Fri Aug 9 21:51 	130.42 	130.3 	130.22 	130.1 	4.1
Fri Aug 9 20:50 	130.65 	130.65 	130.65 	130.57 	4.1
Fri Aug 9 19:51 	129.59 	129.83 	130.65 	127.58 	4.1
Fri Aug 9 18:51 	130.65 	130.65 	130.65 	130.65 	4.1
Fri Aug 9 17:51 	130.65 	130.65 	130.65 	130.65 	4.1
Fri Aug 9 16:51 	129.87 	130.65 	126.4 	130.65 	4.1
Fri Aug 9 15:51 	127.66 	127.9 	128.01 	128.68 	4.2
Fri Aug 9 14:51 	128.84 	130.65 	130.65 	127.9 	4.1
Fri Aug 9 13:51 	130.65 	126.95 	128.53 	130.65 	4.2
Fri Aug 9 12:51 	127.27 	128.25 	130.65 	130.65 	4.1
Fri Aug 9 11:51 	130.53 	130.65 	128.64 	130.46 	4.1
Fri Aug 9 10:51 	130.65 	128.72 	130.22 	127.46 	4.2
Fri Aug 9 09:51 	130.65 	126.52 	130.65 	128.72 	4.2
Fri Aug 9 08:51 	124.55 	125.61 	127.38 	129.63 	4.2
Fri Aug 9 07:51 	124.2 	124.0 	123.88 	124.0 	4.2
Fri Aug 9 06:52 	124.79 	124.67 	124.51 	124.39 	4.1
Fri Aug 9 05:51 	125.18 	125.06 	124.98 	124.87 	4.0
Fri Aug 9 04:51 	125.61 	125.49 	125.38 	125.26 	4.0
Fri Aug 9 03:51 	126.05 	125.93 	125.85 	125.73 	4.0
Fri Aug 9 02:51 	126.52 	126.44 	126.28 	126.16 	4.1
Fri Aug 9 01:51 	127.03 	126.87 	126.75 	126.68 	4.1
Fri Aug 9 00:51 	127.62 	127.5 	127.42 	127.11 	4.1
Thu Aug 8 23:51 	128.17 	128.05 	127.9 	127.78 	4.1
Thu Aug 8 22:51 	128.84 	128.68 	128.53 	128.33 	4.1
Thu Aug 8 21:51 	129.75 	129.55 	129.27 	129.04 	4.1
Thu Aug 8 20:52 	130.65 	130.38 	130.14 	129.94 	4.1
Thu Aug 8 19:52 	126.56 	126.32 	130.65 	130.65 	4.1
Thu Aug 8 18:51 	130.65 	130.65 	130.65 	130.65 	4.1
Thu Aug 8 17:52 	130.65 	130.65 	130.65 	130.65 	4.1
Thu Aug 8 16:51 	129.9 	130.65 	130.65 	130.65 	4.1
Thu Aug 8 15:51 	130.65 	129.94 	127.15 	128.33 	4.1
Thu Aug 8 14:51 	129.2 	130.65 	128.49 	130.65 	4.2
Thu Aug 8 13:51 	130.65 	130.65 	130.65 	127.54 	4.1
Thu Aug 8 12:52 	130.46 	126.44 	129.94 	130.65 	4.2
Thu Aug 8 11:51 	128.37 	128.25 	130.65 	130.65 	4.2
Thu Aug 8 10:51 	127.82 	130.06 	129.63 	130.65 	4.1
Thu Aug 8 09:51 	126.64 	128.05 	130.3 	130.65 	4.2
Thu Aug 8 08:51 	125.18 	125.22 	125.57 	126.01 	4.1
Thu Aug 8 07:51 	125.57 	125.49 	125.38 	125.26 	4.1
Thu Aug 8 06:51 	126.05 	125.93 	125.81 	125.69 	4.0
Thu Aug 8 05:51 	126.44 	126.36 	126.24 	126.16 	4.0
Thu Aug 8 04:51 	126.95 	126.75 	126.64 	126.56 	4.0
Thu Aug 8 03:51 	127.78 	127.66 	127.5 	127.15 	4.0
Thu Aug 8 02:51 	128.21 	128.13 	128.01 	127.9 	4.1
Thu Aug 8 01:52 	128.64 	128.53 	128.41 	128.33 	4.1
Thu Aug 8 00:51 	129.04 	128.92 	128.84 	128.72 	4.1
Wed Aug 7 23:51 	129.51 	129.39 	129.27 	129.2 	4.1
Wed Aug 7 22:51 	129.94 	129.83 	129.71 	129.59 	4.1
Wed Aug 7 21:51 	130.42 	130.3 	130.18 	130.06 	4.1
Wed Aug 7 20:51 	130.65 	130.65 	130.65 	130.57 	4.1
Wed Aug 7 19:51 	130.65 	130.65 	130.65 	127.98 	4.1
Wed Aug 7 18:53 	129.87 	130.65 	130.65 	130.65 	4.1
Wed Aug 7 17:51 	130.65 	127.66 	127.9 	128.68 	4.1
Wed Aug 7 16:51 	130.5 	130.65 	130.65 	130.65 	4.1
Wed Aug 7 15:52 	130.65 	129.59 	130.1 	130.65 	4.1
Wed Aug 7 14:52 	130.65 	127.38 	130.65 	129.87 	4.1
Wed Aug 7 13:52 	130.46 	127.86 	128.8 	130.65 	4.2
Wed Aug 7 12:51 	128.25 	129.24 	130.65 	130.65 	4.2
Wed Aug 7 11:52 	130.65 	127.66 	130.65 	130.65 	4.2
Wed Aug 7 10:51 	130.65 	130.65 	129.55 	129.55 	4.1
Wed Aug 7 09:51 	130.65 	130.65 	130.65 	130.65 	4.2
Wed Aug 7 08:51 	126.91 	128.05 	128.88 	129.87 	4.2
Wed Aug 7 07:51 	124.55 	124.47 	124.83 	125.81 	4.1
Wed Aug 7 06:51 	125.06 	124.9 	124.79 	124.67 	4.0
Wed Aug 7 05:52 	125.49 	125.38 	125.26 	125.14 	4.0
Wed Aug 7 04:51 	126.01 	125.89 	125.73 	125.61 	4.0
Wed Aug 7 03:51 	126.44 	126.36 	126.24 	126.12 	4.0
Wed Aug 7 02:51 	127.03 	126.79 	126.68 	126.56 	4.1
Wed Aug 7 01:51 	127.5 	127.38 	127.11 	127.15 	4.1
Wed Aug 7 00:51 	127.94 	127.82 	127.7 	127.58 	4.1
Tue Aug 6 23:51 	128.68 	128.57 	128.37 	128.17 	4.1
Tue Aug 6 22:51 	129.16 	129.04 	128.92 	128.8 	4.1
Tue Aug 6 21:51 	129.63 	129.51 	129.39 	129.27 	4.1
Tue Aug 6 20:51 	130.14 	130.02 	129.9 	129.75 	4.1
Tue Aug 6 19:51 	130.46 	130.34 	130.26 	130.22 	4.1
Tue Aug 6 18:51 	130.42 	130.65 	130.65 	130.61 	4.2
Tue Aug 6 17:51 	130.65 	130.65 	130.65 	130.57 	4.1
Tue Aug 6 16:51 	130.65 	130.42 	130.46 	130.65 	4.2
Tue Aug 6 15:51 	127.82 	130.65 	130.65 	130.65 	4.1
Tue Aug 6 14:51 	130.65 	130.65 	129.2 	130.65 	4.1
Tue Aug 6 13:51 	129.71 	130.65 	130.65 	130.65 	4.2
Tue Aug 6 12:51 	128.72 	130.65 	127.74 	129.83 	4.2
Tue Aug 6 11:51 	130.65 	130.65 	130.65 	130.65 	4.2
Tue Aug 6 10:51 	130.65 	130.65 	129.59 	130.65 	4.2
Tue Aug 6 09:51 	130.65 	126.68 	129.83 	129.2 	4.2
Tue Aug 6 08:51 	125.49 	126.68 	128.29 	130.42 	4.1
Tue Aug 6 07:52 	125.06 	124.94 	124.83 	124.94 	4.1
Tue Aug 6 06:51 	125.65 	125.53 	125.38 	125.26 	4.1
Tue Aug 6 05:51 	126.05 	125.93 	125.85 	125.73 	4.0
Tue Aug 6 04:51 	126.56 	126.48 	126.28 	126.2 	4.0
Tue Aug 6 03:51 	127.15 	127.03 	126.79 	126.83 	4.0
Tue Aug 6 02:51 	127.62 	127.54 	127.42 	127.27 	4.1
Tue Aug 6 01:51 	128.09 	127.94 	127.82 	127.7 	4.1
Tue Aug 6 00:51 	128.61 	128.45 	128.33 	128.21 	4.1
Mon Aug 5 23:51 	129.12 	129.0 	128.84 	128.68 	4.1
Mon Aug 5 22:51 	129.59 	129.47 	129.31 	129.16 	4.1
Mon Aug 5 21:51 	130.1 	129.94 	129.79 	129.67 	4.1
Mon Aug 5 20:51 	130.65 	130.65 	130.57 	130.34 	4.1
Mon Aug 5 19:51 	130.65 	130.65 	128.53 	126.64 	4.1
Mon Aug 5 18:51 	130.65 	130.65 	130.65 	130.65 	4.1
Mon Aug 5 17:51 	130.65 	130.65 	130.65 	126.52 	4.1
Mon Aug 5 16:51 	130.65 	130.65 	130.65 	130.65 	4.1
Mon Aug 5 15:53 	130.65 	130.65 	127.9 	128.13 	4.1
Mon Aug 5 14:57 	130.65 	130.65 	130.65 	126.95 	4.1
Mon Aug 5 13:51 	130.65 	130.65 	130.65 	129.24 	4.1
Mon Aug 5 12:51 	130.65 	130.65 	130.14 	130.65 	4.2
Mon Aug 5 11:51 	129.47 	130.65 	127.86 	128.13 	4.1
Mon Aug 5 10:51 	130.65 	130.65 	128.88 	130.65 	4.2
Mon Aug 5 09:52 	130.65 	130.65 	128.68 	128.96 	4.2
Mon Aug 5 08:52 	123.13 	124.08 	125.85 	128.01 	4.2
Mon Aug 5 07:53 	123.33 	123.09 	122.94 	122.82 	4.2
Mon Aug 5 06:52 	124.12 	124.0 	123.8 	123.57 	4.1
Mon Aug 5 05:52 	124.67 	124.55 	124.39 	124.24 	4.0
Mon Aug 5 04:52 	125.22 	125.06 	124.98 	124.83 	4.0
Mon Aug 5 03:52 	125.77 	125.65 	125.49 	125.34 	4.1
